Antibiotic,n_neighbors,min_dist,metric,threshold,silhouette_score,file_name
Amp_Sulbactam_Interpretación,2,0.1,euclidean,0.05,-0.03419486,umap_Amp_Sulbactam_Interpretación_n2_dist0.1_metriceuclidean_thresh0.05.png
Amp_Sulbactam_Interpretación,2,0.1,manhattan,0.05,-0.018217511,umap_Amp_Sulbactam_Interpretación_n2_dist0.1_metricmanhattan_thresh0.05.png
Amp_Sulbactam_Interpretación,2,0.3,euclidean,0.05,-0.037549194,umap_Amp_Sulbactam_Interpretación_n2_dist0.3_metriceuclidean_thresh0.05.png
Amp_Sulbactam_Interpretación,2,0.3,manhattan,0.05,-0.00027381763,umap_Amp_Sulbactam_Interpretación_n2_dist0.3_metricmanhattan_thresh0.05.png
Amp_Sulbactam_Interpretación,2,0.5,euclidean,0.05,-0.043446355,umap_Amp_Sulbactam_Interpretación_n2_dist0.5_metriceuclidean_thresh0.05.png
Amp_Sulbactam_Interpretación,2,0.5,manhattan,0.05,-0.019601911,umap_Amp_Sulbactam_Interpretación_n2_dist0.5_metricmanhattan_thresh0.05.png
Amp_Sulbactam_Interpretación,2,0.8,euclidean,0.05,-0.027500847,umap_Amp_Sulbactam_Interpretación_n2_dist0.8_metriceuclidean_thresh0.05.png
Amp_Sulbactam_Interpretación,2,0.8,manhattan,0.05,-0.01808965,umap_Amp_Sulbactam_Interpretación_n2_dist0.8_metricmanhattan_thresh0.05.png
Amp_Sulbactam_Interpretación,5,0.1,euclidean,0.05,-0.07159442,umap_Amp_Sulbactam_Interpretación_n5_dist0.1_metriceuclidean_thresh0.05.png
Amp_Sulbactam_Interpretación,5,0.1,manhattan,0.05,-0.06999603,umap_Amp_Sulbactam_Interpretación_n5_dist0.1_metricmanhattan_thresh0.05.png
Amp_Sulbactam_Interpretación,5,0.3,euclidean,0.05,-0.06455692,umap_Amp_Sulbactam_Interpretación_n5_dist0.3_metriceuclidean_thresh0.05.png
Amp_Sulbactam_Interpretación,5,0.3,manhattan,0.05,-0.06749728,umap_Amp_Sulbactam_Interpretación_n5_dist0.3_metricmanhattan_thresh0.05.png
Amp_Sulbactam_Interpretación,5,0.5,euclidean,0.05,-0.06617551,umap_Amp_Sulbactam_Interpretación_n5_dist0.5_metriceuclidean_thresh0.05.png
Amp_Sulbactam_Interpretación,5,0.5,manhattan,0.05,-0.06931774,umap_Amp_Sulbactam_Interpretación_n5_dist0.5_metricmanhattan_thresh0.05.png
Amp_Sulbactam_Interpretación,5,0.8,euclidean,0.05,-0.06891106,umap_Amp_Sulbactam_Interpretación_n5_dist0.8_metriceuclidean_thresh0.05.png
Amp_Sulbactam_Interpretación,5,0.8,manhattan,0.05,-0.06584632,umap_Amp_Sulbactam_Interpretación_n5_dist0.8_metricmanhattan_thresh0.05.png
Amp_Sulbactam_Interpretación,10,0.1,euclidean,0.05,-0.0678389,umap_Amp_Sulbactam_Interpretación_n10_dist0.1_metriceuclidean_thresh0.05.png
Amp_Sulbactam_Interpretación,10,0.1,manhattan,0.05,-0.06664449,umap_Amp_Sulbactam_Interpretación_n10_dist0.1_metricmanhattan_thresh0.05.png
Amp_Sulbactam_Interpretación,10,0.3,euclidean,0.05,-0.0674543,umap_Amp_Sulbactam_Interpretación_n10_dist0.3_metriceuclidean_thresh0.05.png
Amp_Sulbactam_Interpretación,10,0.3,manhattan,0.05,-0.07163254,umap_Amp_Sulbactam_Interpretación_n10_dist0.3_metricmanhattan_thresh0.05.png
Amp_Sulbactam_Interpretación,10,0.5,euclidean,0.05,-0.069011316,umap_Amp_Sulbactam_Interpretación_n10_dist0.5_metriceuclidean_thresh0.05.png
Amp_Sulbactam_Interpretación,10,0.5,manhattan,0.05,-0.06382214,umap_Amp_Sulbactam_Interpretación_n10_dist0.5_metricmanhattan_thresh0.05.png
Amp_Sulbactam_Interpretación,10,0.8,euclidean,0.05,-0.068494275,umap_Amp_Sulbactam_Interpretación_n10_dist0.8_metriceuclidean_thresh0.05.png
Amp_Sulbactam_Interpretación,10,0.8,manhattan,0.05,-0.06723646,umap_Amp_Sulbactam_Interpretación_n10_dist0.8_metricmanhattan_thresh0.05.png
Amp_Sulbactam_Interpretación,15,0.1,euclidean,0.05,-0.076352015,umap_Amp_Sulbactam_Interpretación_n15_dist0.1_metriceuclidean_thresh0.05.png
Amp_Sulbactam_Interpretación,15,0.1,manhattan,0.05,-0.07701185,umap_Amp_Sulbactam_Interpretación_n15_dist0.1_metricmanhattan_thresh0.05.png
Amp_Sulbactam_Interpretación,15,0.3,euclidean,0.05,-0.07072685,umap_Amp_Sulbactam_Interpretación_n15_dist0.3_metriceuclidean_thresh0.05.png
Amp_Sulbactam_Interpretación,15,0.3,manhattan,0.05,-0.071443215,umap_Amp_Sulbactam_Interpretación_n15_dist0.3_metricmanhattan_thresh0.05.png
Amp_Sulbactam_Interpretación,15,0.5,euclidean,0.05,-0.07117339,umap_Amp_Sulbactam_Interpretación_n15_dist0.5_metriceuclidean_thresh0.05.png
Amp_Sulbactam_Interpretación,15,0.5,manhattan,0.05,-0.06916293,umap_Amp_Sulbactam_Interpretación_n15_dist0.5_metricmanhattan_thresh0.05.png
Amp_Sulbactam_Interpretación,15,0.8,euclidean,0.05,-0.06830694,umap_Amp_Sulbactam_Interpretación_n15_dist0.8_metriceuclidean_thresh0.05.png
Amp_Sulbactam_Interpretación,15,0.8,manhattan,0.05,-0.064906925,umap_Amp_Sulbactam_Interpretación_n15_dist0.8_metricmanhattan_thresh0.05.png
Amp_Sulbactam_Interpretación,30,0.1,euclidean,0.05,-0.07266474,umap_Amp_Sulbactam_Interpretación_n30_dist0.1_metriceuclidean_thresh0.05.png
Amp_Sulbactam_Interpretación,30,0.1,manhattan,0.05,-0.07937229,umap_Amp_Sulbactam_Interpretación_n30_dist0.1_metricmanhattan_thresh0.05.png
Amp_Sulbactam_Interpretación,30,0.3,euclidean,0.05,-0.07278079,umap_Amp_Sulbactam_Interpretación_n30_dist0.3_metriceuclidean_thresh0.05.png
Amp_Sulbactam_Interpretación,30,0.3,manhattan,0.05,-0.07284826,umap_Amp_Sulbactam_Interpretación_n30_dist0.3_metricmanhattan_thresh0.05.png
Amp_Sulbactam_Interpretación,30,0.5,euclidean,0.05,-0.07355489,umap_Amp_Sulbactam_Interpretación_n30_dist0.5_metriceuclidean_thresh0.05.png
Amp_Sulbactam_Interpretación,30,0.5,manhattan,0.05,-0.06750715,umap_Amp_Sulbactam_Interpretación_n30_dist0.5_metricmanhattan_thresh0.05.png
Amp_Sulbactam_Interpretación,30,0.8,euclidean,0.05,-0.06822031,umap_Amp_Sulbactam_Interpretación_n30_dist0.8_metriceuclidean_thresh0.05.png
Amp_Sulbactam_Interpretación,30,0.8,manhattan,0.05,-0.06678087,umap_Amp_Sulbactam_Interpretación_n30_dist0.8_metricmanhattan_thresh0.05.png
Amp_Sulbactam_Interpretación,45,0.1,euclidean,0.05,-0.07696214,umap_Amp_Sulbactam_Interpretación_n45_dist0.1_metriceuclidean_thresh0.05.png
